iter	Passed	Remaining
709	7553	3085
710	7560	3073
711	7572	3063
712	7581	3051
713	7586	3039
714	7593	3026
715	7601	3015
716	7607	3002
717	7615	2991
718	7621	2978
719	7630	2967
720	7668	2967
721	7674	2955
722	7680	2942
723	7687	2930
724	7700	2920
725	7709	2909
726	7718	2898
727	7727	2887
728	7736	2875
729	7744	2864
730	7751	2852
731	7762	2842
732	7774	2831
733	7783	2820
734	7795	2810
735	7807	2800
736	7818	2790
737	7832	2780
738	7842	2769
739	7852	2758
740	7866	2749
741	7876	2738
742	7887	2728
743	7899	2718
744	7921	2711
745	7949	2706
746	7964	2697
747	7977	2687
748	7987	2676
749	8000	2666
750	8011	2656
751	8023	2645
752	8032	2634
753	8044	2624
754	8056	2614
755	8069	2604
756	8077	2592
757	8091	2583
758	8101	2572
759	8108	2560
760	8118	2549
761	8131	2539
762	8141	2528
763	8153	2518
764	8166	2508
765	8176	2497
766	8187	2487
767	8196	2476
768	8206	2465
769	8219	2455
770	8229	2444
771	8236	2432
772	8247	2421
773	8256	2410
774	8265	2399
775	8274	2388
776	8284	2377
777	8295	2367
778	8307	2356
779	8317	2345
780	8326	2334
781	8334	2323
782	8350	2314
783	8363	2304
784	8373	2293
785	8383	2282
786	8395	2272
787	8406	2261
788	8414	2250
789	8424	2239
790	8432	2228
791	8443	2217
792	8455	2207
793	8464	2195
794	8472	2184
795	8484	2174
796	8492	2163
797	8512	2154
798	8521	2143
799	8537	2134
800	8547	2123
801	8554	2112
802	8562	2100
803	8570	2089
804	8581	2078
805	8588	2067
806	8599	2056
807	8611	2046
808	8619	2035
809	8633	2025
810	8644	2014
811	8655	2003
812	8665	1993
813	8679	1983
814	8689	1972
815	8699	1961
816	8709	1950
817	8722	1940
818	8734	1930
819	8747	1920
820	8758	1909
821	8781	1901
822	8792	1890
823	8803	1880
824	8814	1869
825	8825	1859
826	8839	1849
827	8851	1838
828	8864	1828
829	8876	1818
830	8886	1807
831	8897	1796
832	8909	1786
833	8933	1778
834	8941	1766
835	8951	1756
836	8960	1744
837	8968	1733
838	8976	1722
839	8984	1711
840	8997	1700
841	9005	1689
842	9013	1678
843	9023	1667
844	9031	1656
845	9041	1645
846	9049	1634
847	9060	1624
848	9069	1613
849	9079	1602
850	9089	1591
851	9098	1580
852	9105	1569
853	9115	1558
854	9123	1547
855	9133	1536
856	9140	1525
857	9148	1514
858	9158	1503
859	9164	1491
860	9171	1480
861	9177	1469
862	9185	1458
863	9193	1447
864	9200	1435
865	9207	1424
866	9217	1414
867	9226	1403
868	9234	1392
869	9245	1381
870	9255	1370
871	9262	1359
872	9270	1348
873	9277	1337
874	9286	1326
875	9295	1315
876	9304	1305
877	9311	1293
878	9321	1283
879	9329	1272
880	9338	1261
881	9347	1250
882	9353	1239
883	9362	1228
884	9369	1217
885	9378	1206
886	9387	1195
887	9396	1185
888	9405	1174
889	9413	1163
890	9421	1152
891	9429	1141
892	9438	1130
893	9445	1119
894	9451	1108
895	9459	1097
896	9466	1086
897	9473	1076
898	9479	1064
899	9485	1053
900	9494	1043
901	9508	1033
902	9514	1022
903	9522	1011
904	9529	1000
905	9538	989
906	9544	978
907	9551	967
908	9559	957
909	9568	946
910	9574	935
911	9581	924
